,fighter1,fighter2,fight_odds_url,Bet,5Dimes,Bet365,BetDSI,BetOnline,BookMaker,Bovada,Intertops,Pinnacle,SportBet,SportsInt,Sportsbook,William_H,meanodds,5Dimes_vig,BetDSI_vig,BookMaker_vig,SportBet_vig,Bet365_vig,Bovada_vig,Sportsbook_vig,William_H_vig,Pinnacle_vig,SportsInt_vig,BetOnline_vig,Intertops_vig
20,Aaron Rosa,James Te Huna,https://www.bestfightodds.com/events/ufc-on-fx-2-alves-vs-kampmann-487,Aaron Rosa,3.5,,,,3.5,3.5,,3.5,3.5,3.5,3.5,,3.5,-0.4285714285714286,,-0.4285714285714286,-0.4285714285714286,,-0.4285714285714286,-0.4285714285714286,,-0.4285714285714286,-0.4285714285714286,,
21,Aaron Rosa,James Te Huna,https://www.bestfightodds.com/events/ufc-on-fx-2-alves-vs-kampmann-487,James Te Huna,3.5,,,,3.5,3.5,,3.5,3.5,3.5,3.5,,3.5,-0.4285714285714286,,-0.4285714285714286,-0.4285714285714286,,-0.4285714285714286,-0.4285714285714286,,-0.4285714285714286,-0.4285714285714286,,
80,Abel Trujillo,Tony Sims,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012,Abel Trujillo,2.69,,2.23,2.3,2.23,2.2,,2.34,2.33,2.05,2.1,,2.2744444444444443,-0.03641605341021159,0.03690785952868669,0.03690785952868669,0.024326249761081442,,0.054545454545454675,0.05952380952380931,,0.02412462089881462,0.06227296315516351,0.03478260869565242,
81,Abel Trujillo,Tony Sims,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012,Tony Sims,1.6896551724137931,,1.6993006993006992,1.6666666666666665,1.6993006993006992,1.6666666666666665,,1.6756756756756757,1.6802721088435373,1.7407407407407407,1.7142857142857144,,1.6925071270993546,-0.03641605341021159,0.03690785952868669,0.03690785952868669,0.024326249761081442,,0.054545454545454675,0.05952380952380931,,0.02412462089881462,0.06227296315516351,0.03478260869565242,
668,Alexandre Pantoja,Brandon Moreno,https://www.bestfightodds.com/events/ufc-fight-night-129-maia-vs-usman-1468,Alexandre Pantoja,2.7,,1.78125,1.8,1.78125,1.8,1.8,1.8,1.78125,1.7407407407407407,,1.8,1.8784490740740742,-0.06441223832528176,0.026519787841697173,0.05645301372242484,0.03088707684704728,,0.02067183462532296,,0.05555555555555558,0.010101010101010166,0.07446808510638303,0.05555555555555558,0.02067183462532296
669,Alexandre Pantoja,Brandon Moreno,https://www.bestfightodds.com/events/ufc-fight-night-129-maia-vs-usman-1468,Brandon Moreno,1.7692307692307692,,2.15,2.0,2.02,2.15,2.15,2.2,2.13,2.0,,2.0,2.0569230769230766,-0.06441223832528176,0.026519787841697173,0.05645301372242484,0.03088707684704728,,0.02067183462532296,,0.05555555555555558,0.010101010101010166,0.07446808510638303,0.05555555555555558,0.02067183462532296
672,Alexandre Pantoja,Dustin Ortiz,https://www.bestfightodds.com/events/ufc-220-miocic-vs-ngannou-1406,Alexandre Pantoja,1.8333333333333335,,1.5714285714285714,1.7407407407407407,1.7692307692307692,1.7142857142857144,1.7407407407407407,1.7936507936507935,1.819672131147541,1.7407407407407407,1.7407407407407407,1.72992700729927,1.7449537530308141,0.02164502164502169,0.0445269016697587,-0.02661934338952965,0.030318780318780103,,0.05952380952380931,0.06227296315516351,0.054249547920433905,0.029220237101352575,0.06227296315516351,0.03958436417615041,0.06227296315516351
673,Alexandre Pantoja,Dustin Ortiz,https://www.bestfightodds.com/events/ufc-220-miocic-vs-ngannou-1406,Dustin Ortiz,2.1,,2.45,2.15,2.45,2.1,2.05,2.12,2.08,2.05,2.05,2.1,2.1545454545454543,0.02164502164502169,0.0445269016697587,-0.02661934338952965,0.030318780318780103,,0.05952380952380931,0.06227296315516351,0.054249547920433905,0.029220237101352575,0.06227296315516351,0.03958436417615041,0.06227296315516351
1296,Anthony Smith,Mauricio Rua,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507,Anthony Smith,1.5714285714285714,,,1.4761904761904763,1.5714285714285714,1.4878048780487805,1.4545454545454546,1.558659217877095,1.5524861878453038,1.526315789473684,1.5405405405405406,1.4,1.5139399687378479,0.013722126929674117,,0.0445269016697587,0.02291599266688249,,0.04948963810702134,0.04912280701754401,0.059113300492610765,-0.013595352861203835,0.06333567909922588,0.034562211981566726,0.05787037037037024
1297,Anthony Smith,Mauricio Rua,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507,Mauricio Rua,2.65,,,2.8,2.45,2.65,2.7,2.9,2.6399999999999997,2.45,2.5,2.9,2.6639999999999997,0.013722126929674117,,0.0445269016697587,0.02291599266688249,,0.04948963810702134,0.04912280701754401,0.059113300492610765,-0.013595352861203835,0.06333567909922588,0.034562211981566726,0.05787037037037024
