,wiki_url,winner_match,loser_match,fighter1_match,fighter2_match
17,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,renan barao,urijah faber
18,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,hector lombard,tim boetsch
19,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,cheick kongo,shawn jordan
20,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,chris clements,matt riddle
21,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,brian ebersole,james head
22,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,court mcgee,nick ring
23,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,anton kuivanen,mitch clarke
24,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,anthony perosh,ryan jimmo
25,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,francisco rivera,roland delorme
26,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,bryan caraway,mitch gagnon
27,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chael sonnen,michael bisping,antonio carvalho,daniel pineda
72,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,renan barao,urijah faber
73,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,hector lombard,tim boetsch
74,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,cheick kongo,shawn jordan
75,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,chris clements,matt riddle
76,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,brian ebersole,james head
77,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,court mcgee,nick ring
78,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,anton kuivanen,mitch clarke
79,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,anthony perosh,ryan jimmo
80,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,francisco rivera,roland delorme
81,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,bryan caraway,mitch gagnon
82,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,charles oliveira,eric wisely,antonio carvalho,daniel pineda
105,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,renan barao,urijah faber
106,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,hector lombard,tim boetsch
107,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,cheick kongo,shawn jordan
108,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,chris clements,matt riddle
109,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,brian ebersole,james head
110,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,court mcgee,nick ring
111,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,anton kuivanen,mitch clarke
112,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,anthony perosh,ryan jimmo
113,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,francisco rivera,roland delorme
114,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,bryan caraway,mitch gagnon
115,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris camozzi,dustin jacoby,antonio carvalho,daniel pineda
28,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,renan barao,urijah faber
29,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,hector lombard,tim boetsch
30,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,cheick kongo,shawn jordan
31,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,chris clements,matt riddle
32,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,brian ebersole,james head
33,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,court mcgee,nick ring
34,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,anton kuivanen,mitch clarke
35,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,anthony perosh,ryan jimmo
36,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,francisco rivera,roland delorme
37,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,bryan caraway,mitch gagnon
38,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,chris weidman,demian maia,antonio carvalho,daniel pineda
61,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,renan barao,urijah faber
62,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,hector lombard,tim boetsch
63,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,cheick kongo,shawn jordan
64,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,chris clements,matt riddle
65,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,brian ebersole,james head
66,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,court mcgee,nick ring
67,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,anton kuivanen,mitch clarke
68,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,anthony perosh,ryan jimmo
69,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,francisco rivera,roland delorme
70,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,bryan caraway,mitch gagnon
71,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,cub swanson,george roop,antonio carvalho,daniel pineda
39,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,renan barao,urijah faber
40,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,hector lombard,tim boetsch
41,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,cheick kongo,shawn jordan
42,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,chris clements,matt riddle
43,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,brian ebersole,james head
44,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,court mcgee,nick ring
45,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,anton kuivanen,mitch clarke
46,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,anthony perosh,ryan jimmo
47,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,francisco rivera,roland delorme
48,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,bryan caraway,mitch gagnon
49,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,evan dunham,nik lentz,antonio carvalho,daniel pineda
94,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,lavar johnson,joey beltran,renan barao,urijah faber
95,https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,lavar johnson,joey beltran,hector lombard,tim boetsch
