#,Event,Date,Venue,Location,Attendance,url,fight_odds_url
513,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Ginásio Nilson Nelson,"Brasília, Brazil",0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
512,UFC 248: Adesanya vs. Romero,2020-03-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","15,077",https://en.wikipedia.org/wiki/UFC_248,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
511,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Chartway Arena,"Norfolk, Virginia, U.S.","7,098",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862
510,UFC Fight Night: Felder vs. Hooker,2020-02-23,Spark Arena,"Auckland, New Zealand","10,025",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846
509,UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15,Santa Ana Star Center,"Rio Rancho, New Mexico, U.S.","6,449",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
508,UFC 247: Jones vs. Reyes,2020-02-08,Toyota Center,"Houston, Texas, U.S.","17,401",https://en.wikipedia.org/wiki/UFC_247,https://www.bestfightodds.com/events/ufc-247-jones-vs-reyes-1837
507,UFC Fight Night: Blaydes vs. dos Santos,2020-01-25,PNC Arena,"Raleigh, North Carolina, U.S.","14,533",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
506,UFC 246: McGregor vs. Cowboy,2020-01-18,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,040",https://en.wikipedia.org/wiki/UFC_246,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
505,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,Sajik Arena,"Busan, South Korea","10,651",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._The_Korean_Zombie,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
504,UFC 245: Usman vs. Covington,2019-12-14,T-Mobile Arena,"Las Vegas, Nevada, U.S.","16,811",https://en.wikipedia.org/wiki/UFC_245,https://www.bestfightodds.com/events/ufc-245-usman-vs-covington-1787
503,UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,Capital One Arena,"Washington, D.C., U.S.","10,816",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Overeem_vs._Rozenstruik,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
502,UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,Ginásio do Ibirapuera,"São Paulo, Brazil","10,344",https://en.wikipedia.org/wiki/UFC_Fight_Night:_B%C5%82achowicz_vs._Jacar%C3%A9,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755
501,UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09,CSKA Arena,"Moscow, Russia","11,305",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Magomedsharipov_vs._Kattar,https://www.bestfightodds.com/events/ufc-on-espn-21-zabit-vs-kattar-1795
500,UFC 244: Masvidal vs. Diaz,2019-11-02,Madison Square Garden,"New York City, New York, U.S.","20,143",https://en.wikipedia.org/wiki/UFC_244,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
499,UFC Fight Night: Maia vs. Askren,2019-10-26,Singapore Indoor Stadium,"Kallang, Singapore","7,155",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Askren,https://www.bestfightodds.com/events/ufc-on-espn-20-maia-vs-askren-1793
