Winner_Cleaned,Loser_Cleaned,wiki_url,fighter1,fighter2,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,fight_odds_url,Card_Date,#,Event
Charles Oliveira,Kevin Lee,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Charles Oliveira,Kevin Lee,Charles Oliveira,Kevin Lee,Catchweight (158.5 lbs),Charles Oliveira,def,Kevin Lee,Submission (guillotine choke),3.0,0:28,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Charles_Oliveira,https://en.wikipedia.org/wiki/Kevin_Lee_(fighter),1,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Francisco Trinaldo,John Makdessi,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Francisco Trinaldo,John Makdessi,Francisco Trinaldo,John Makdessi,Lightweight,Francisco Trinaldo,def,John Makdessi,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Francisco_Trinaldo,https://en.wikipedia.org/wiki/John_Makdessi,5,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Brandon Moreno,Jussier Formiga,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Brandon Moreno,Jussier Formiga,Brandon Moreno,Jussier Formiga,Flyweight,Brandon Moreno,def,Jussier Formiga,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Brandon_Moreno,https://en.wikipedia.org/wiki/Jussier_Formiga,6,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Amanda Ribas,Randa Markos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Amanda Ribas,Randa Markos,Amanda Ribas,Randa Markos,Women's Strawweight,Amanda Ribas,def,Randa Markos,"Decision (unanimous) (30–26, 30–25, 30–25)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Amanda_Ribas,https://en.wikipedia.org/wiki/Randa_Markos,7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Enrique Barzola,Rani Yahya,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Enrique Barzola,Rani Yahya,Enrique Barzola,Rani Yahya,Bantamweight,Enrique Barzola,vs,Rani Yahya,"Draw (majority) (29–28, 28–28, 28–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Enrique_Barzola,https://en.wikipedia.org/wiki/Rani_Yahya,9,,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Maryna Moroz,Mayra Bueno Silva,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Maryna Moroz,Mayra Bueno Silva,Maryna Moroz,Mayra Bueno Silva,Women's Flyweight,Maryna Moroz,def,Mayra Bueno Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Maryna_Moroz,,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Bea Malecki,Veronica Macedo,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Bea Malecki,Veronica Macedo,Bea Malecki,Veronica Macedo,Women's Bantamweight,Bea Malecki,def,Veronica Macedo,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),,https://en.wikipedia.org/wiki/Veronica_Macedo,12,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Gilbert Burns,Demian Maia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Demian Maia,Gilbert Burns,Gilbert Burns,Demian Maia,Welterweight,Gilbert Burns,def,Demian Maia,TKO (punches),1.0,2:34,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Gilbert_Burns_(fighter),https://en.wikipedia.org/wiki/Demian_Maia,2,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Renato Moicano,Damir Hadžović,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Damir Hadzovic,Renato Moicano,Renato Moicano,Damir Hadzovic,Lightweight,Renato Moicano,def,Damir Hadžović,Submission (rear-naked choke),1.0,0:44,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Renato_Moicano,https://en.wikipedia.org/wiki/Damir_Had%C5%BEovi%C4%87,3,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Nikita Krylov,Johnny Walker,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Johnny Walker,Nikita Krylov,Nikita Krylov,Johnny Walker,Light Heavyweight,Nikita Krylov,def,Johnny Walker,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Nikita_Krylov,https://en.wikipedia.org/wiki/Johnny_Walker_(fighter),4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
