#,Event,Date,Venue,Location,Attendance,url
513,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Ginásio Nilson Nelson,"Brasília, Brazil",0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira
512,UFC 248: Adesanya vs. Romero,2020-03-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","15,077",https://en.wikipedia.org/wiki/UFC_248
511,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Chartway Arena,"Norfolk, Virginia, U.S.","7,098",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo
510,UFC Fight Night: Felder vs. Hooker,2020-02-23,Spark Arena,"Auckland, New Zealand","10,025",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker
509,UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15,Santa Ana Star Center,"Rio Rancho, New Mexico, U.S.","6,449",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2
508,UFC 247: Jones vs. Reyes,2020-02-08,Toyota Center,"Houston, Texas, U.S.","17,401",https://en.wikipedia.org/wiki/UFC_247
507,UFC Fight Night: Blaydes vs. dos Santos,2020-01-25,PNC Arena,"Raleigh, North Carolina, U.S.","14,533",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos
506,UFC 246: McGregor vs. Cowboy,2020-01-18,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,040",https://en.wikipedia.org/wiki/UFC_246
505,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,Sajik Arena,"Busan, South Korea","10,651",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._The_Korean_Zombie
504,UFC 245: Usman vs. Covington,2019-12-14,T-Mobile Arena,"Las Vegas, Nevada, U.S.","16,811",https://en.wikipedia.org/wiki/UFC_245
503,UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,Capital One Arena,"Washington, D.C., U.S.","10,816",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Overeem_vs._Rozenstruik
502,UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,Ginásio do Ibirapuera,"São Paulo, Brazil","10,344",https://en.wikipedia.org/wiki/UFC_Fight_Night:_B%C5%82achowicz_vs._Jacar%C3%A9
501,UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09,CSKA Arena,"Moscow, Russia","11,305",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Magomedsharipov_vs._Kattar
500,UFC 244: Masvidal vs. Diaz,2019-11-02,Madison Square Garden,"New York City, New York, U.S.","20,143",https://en.wikipedia.org/wiki/UFC_244
499,UFC Fight Night: Maia vs. Askren,2019-10-26,Singapore Indoor Stadium,"Kallang, Singapore","7,155",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Askren
498,UFC on ESPN: Reyes vs. Weidman,2019-10-18,TD Garden,"Boston, Massachusetts, U.S.","12,066",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Reyes_vs._Weidman
497,UFC Fight Night: Joanna vs. Waterson,2019-10-12,Amalie Arena,"Tampa, Florida, U.S.","10,597",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Joanna_vs._Waterson
496,UFC 243: Whittaker vs. Adesanya,2019-10-05,Marvel Stadium,"Melbourne, Australia","57,127",https://en.wikipedia.org/wiki/UFC_243
495,UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Royal Arena,"Copenhagen, Denmark","12,767",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hermansson_vs._Cannonier
494,UFC Fight Night: Rodríguez vs. Stephens,2019-09-21,Arena Ciudad de México,"Mexico City, Mexico","10,112",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Stephens
493,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Rogers Arena,"Vancouver, British Columbia, Canada","15,114",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Gaethje
492,UFC 242: Khabib vs. Poirier,2019-09-07,"The Arena, Yas Island","Abu Dhabi, United Arab Emirates",N/A,https://en.wikipedia.org/wiki/UFC_242
491,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,"Shenzhen, China","10,302",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
490,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,"Anaheim, California, U.S.","17,304",https://en.wikipedia.org/wiki/UFC_241
489,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,"Montevideo, Uruguay","9,225",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
488,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,"Newark, New Jersey, U.S.","10,427",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
487,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,"Edmonton, Alberta, Canada","12,144",https://en.wikipedia.org/wiki/UFC_240
486,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,"San Antonio, Texas, U.S.","9,255",https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
485,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,"Sacramento, California, U.S.","10,306",https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
484,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,358",https://en.wikipedia.org/wiki/UFC_239
483,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,"Minneapolis, Minnesota, U.S.","10,123",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
482,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Bon Secours Wellness Arena,"Greenville, South Carolina, U.S.","7,682",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._The_Korean_Zombie
481,UFC 238: Cejudo vs. Moraes,2019-06-08,United Center,"Chicago, Illinois, U.S.","16,083",https://en.wikipedia.org/wiki/UFC_238
480,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,Ericsson Globe,"Stockholm, Sweden","14,319",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Smith
479,UFC Fight Night: dos Anjos vs. Lee,2019-05-18,Blue Cross Arena,"Rochester, New York, U.S.","8,132",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Anjos_vs._Lee
478,UFC 237: Namajunas vs. Andrade,2019-05-11,Jeunesse Arena,"Rio de Janeiro, Brazil","15,193",https://en.wikipedia.org/wiki/UFC_237
477,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,Canadian Tire Centre,"Ottawa, Ontario, Canada","10,960",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Iaquinta_vs._Cowboy
476,UFC Fight Night: Jacaré vs. Hermansson,2019-04-27,BB&T Center,"Sunrise, Florida, U.S.","12,754",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Jacar%C3%A9_vs._Hermansson
475,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Yubileyny Sports Palace,"Saint Petersburg, Russia","7,236",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Oleinik
474,UFC 236: Holloway vs. Poirier 2,2019-04-13,State Farm Arena,"Atlanta, Georgia, U.S.","14,297",https://en.wikipedia.org/wiki/UFC_236
473,UFC on ESPN: Barboza vs. Gaethje,2019-03-30,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.","11,123",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Barboza_vs._Gaethje
472,UFC Fight Night: Thompson vs. Pettis,2019-03-23,Bridgestone Arena,"Nashville, Tennessee, U.S.","10,863",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Pettis
471,UFC Fight Night: Till vs. Masvidal,2019-03-16,The O2 Arena,"London, England, U.K.","16,602",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Till_vs._Masvidal
470,UFC Fight Night: Lewis vs. dos Santos,2019-03-09,Intrust Bank Arena,"Wichita, Kansas, U.S.","7,265",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._dos_Santos
469,UFC 235: Jones vs. Smith,2019-03-02,T-Mobile Arena,"Las Vegas, Nevada, U.S","14,790",https://en.wikipedia.org/wiki/UFC_235
468,UFC Fight Night: Błachowicz vs. Santos,2019-02-23,O2 arena,"Prague, Czech Republic","16,583",https://en.wikipedia.org/wiki/UFC_Fight_Night:_B%C5%82achowicz_vs._Santos
467,UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","14,269",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._Velasquez
466,UFC 234: Adesanya vs. Silva,2019-02-10,Rod Laver Arena,"Melbourne, Australia","15,238",https://en.wikipedia.org/wiki/UFC_234
465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","10,040",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Assun%C3%A7%C3%A3o_vs._Moraes_2
464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,"Brooklyn, New York, U.S.","12,152",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cejudo_vs._Dillashaw
463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,The Forum,"Inglewood, California, U.S.","15,862",https://en.wikipedia.org/wiki/UFC_232
462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,Fiserv Forum,"Milwaukee, Wisconsin, U.S.","9,010",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lee_vs._Iaquinta_2
461,UFC 231: Holloway vs. Ortega,2018-12-08,Scotiabank Arena,"Toronto, Ontario, Canada","19,039",https://en.wikipedia.org/wiki/UFC_231
460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Adelaide Entertainment Centre,"Adelaide, Australia","8,652",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Santos_vs._Tuivasa
459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,Pearl Theatre,"Las Vegas, Nevada, U.S.","2,020",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavy_Hitters#The_Ultimate_Fighter_28_Finale
458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,Cadillac Arena,"Beijing, China","10,302",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Ngannou_2
457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina","10,245",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Magny_vs._Ponzinibbio
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,Pepsi Center,"Denver, Colorado, U.S.","11,426",https://en.wikipedia.org/wiki/UFC_Fight_Night:_The_Korean_Zombie_vs._Rodr%C3%ADguez
455,UFC 230: Cormier vs. Lewis,2018-11-03,Madison Square Garden,"New York City, New York, U.S.","17,011",https://en.wikipedia.org/wiki/UFC_230
454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Avenir Centre,"Moncton, New Brunswick, Canada","6,282",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkan_vs._Smith
453,UFC 229: Khabib vs. McGregor,2018-10-06,T-Mobile Arena,"Las Vegas, Nevada, U.S","20,034",https://en.wikipedia.org/wiki/UFC_229
452,UFC Fight Night: Santos vs. Anders,2018-09-22,Ginásio do Ibirapuera,"São Paulo, Brazil","9,485",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Anders
451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Olimpiyskiy Stadium,"Moscow, Russia","22,603",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Oleinik
450,UFC 228: Woodley vs. Till,2018-09-08,American Airlines Center,"Dallas, Texas, U.S.","14,073",https://en.wikipedia.org/wiki/UFC_228
449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.","6,409",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gaethje_vs._Vick
448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Staples Center,"Los Angeles, California, U.S.","17,794",https://en.wikipedia.org/wiki/UFC_227
447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Scotiabank Saddledome,"Calgary, Alberta, Canada","10,603",https://en.wikipedia.org/wiki/UFC_on_Fox:_Alvarez_vs._Poirier_2
446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Barclaycard Arena,"Hamburg, Germany","7,798",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shogun_vs._Smith
445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,CenturyLink Arena,"Boise, Idaho, U.S.","5,648",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Santos_vs._Ivanov
444,UFC 226: Miocic vs. Cormier,2018-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S","17,464",https://en.wikipedia.org/wiki/UFC_226
443,The Ultimate Fighter: Undefeated Finale,2018-07-06,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,123",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Undefeated#The_Ultimate_Fighter_27_Finale
442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore Indoor Stadium,"Kallang, Singapore","6,419",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Edwards
441,UFC 225: Whittaker vs. Romero 2,2018-06-09,United Center,"Chicago, Illinois, U.S.","18,117",https://en.wikipedia.org/wiki/UFC_225
440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,Adirondack Bank Center,"Utica, New York, U.S.","5,063",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rivera_vs._Moraes
439,UFC Fight Night: Thompson vs. Till,2018-05-27,Echo Arena,"Liverpool, England, U.K.","8,520",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Till
438,UFC Fight Night: Maia vs. Usman,2018-05-19,Movistar Arena,"Santiago, Chile","11,082",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Usman
437,UFC 224: Nunes vs. Pennington,2018-05-12,Jeunesse Arena,"Rio de Janeiro, Brazil","10,696",https://en.wikipedia.org/wiki/UFC_224
436,UFC Fight Night: Barboza vs. Lee,2018-04-21,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,541",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Barboza_vs._Lee
435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,Gila River Arena,"Glendale, Arizona, U.S.","11,382",https://en.wikipedia.org/wiki/UFC_on_Fox:_Poirier_vs._Gaethje
434,UFC 223: Khabib vs. Iaquinta,2018-04-07,Barclays Center,"Brooklyn, New York, U.S.","17,026",https://en.wikipedia.org/wiki/UFC_223
433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,The O2 Arena,"London, England, U.K.","16,274",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Werdum_vs._Volkov
432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,041",https://en.wikipedia.org/wiki/UFC_222
431,UFC on Fox: Emmett vs. Stephens,2018-02-24,Amway Center,"Orlando, Florida, U.S.","10,124",https://en.wikipedia.org/wiki/UFC_on_Fox:_Emmett_vs._Stephens
430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,Frank Erwin Center,"Austin, Texas, U.S.","10,502",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Medeiros
429,UFC 221: Romero vs. Rockhold,2018-02-11,Perth Arena,"Perth, Australia","12,437",https://en.wikipedia.org/wiki/UFC_221
428,UFC Fight Night: Machida vs. Anders,2018-02-03,Arena Guilherme Paraense,"Belém, Brazil","10,144",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Anders
427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,Spectrum Center,"Charlotte, North Carolina, U.S.","10,249",https://en.wikipedia.org/wiki/UFC_on_Fox:_Jacar%C3%A9_vs._Brunson_2
426,UFC 220: Miocic vs. Ngannou,2018-01-20,TD Garden,"Boston, Massachusetts, U.S.","16,015",https://en.wikipedia.org/wiki/UFC_220
425,UFC Fight Night: Stephens vs. Choi,2018-01-14,Scottrade Center,"St. Louis, Missouri, U.S.","10,052",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Stephens_vs._Choi
424,UFC 219: Cyborg vs. Holm,2017-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,561",https://en.wikipedia.org/wiki/UFC_219
423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Bell MTS Place,"Winnipeg, Manitoba, Canada","8,862",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Save Mart Center,"Fresno, California, U.S.","7,605",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
421,UFC 218: Holloway vs. Aldo 2,2017-12-02,Little Caesars Arena,"Detroit, Michigan, U.S.","17,587",https://en.wikipedia.org/wiki/UFC_218
