WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,wiki_url,event_order,Method_Cleaned,Card_Cleaned,Winner_Cleaned,Loser_Cleaned,Champion,Interim_Champion
Catchweight (158.5 lbs),Charles Oliveira,def,Kevin Lee,Submission (guillotine choke),3,0:28,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Charles_Oliveira,https://en.wikipedia.org/wiki/Kevin_Lee_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,1,Sub,Main Event,Charles Oliveira,Kevin Lee,,
Welterweight,Gilbert Burns,def,Demian Maia,TKO (punches),1,2:34,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Gilbert_Burns_(fighter),https://en.wikipedia.org/wiki/Demian_Maia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,2,KO,Main Event,Gilbert Burns,Demian Maia,,
Lightweight,Renato Moicano,def,Damir Hadžović,Submission (rear-naked choke),1,0:44,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Renato_Moicano,https://en.wikipedia.org/wiki/Damir_Had%C5%BEovi%C4%87,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,3,Sub,Main Event,Renato Moicano,Damir Hadžović,,
Light Heavyweight,Nikita Krylov,def,Johnny Walker,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Nikita_Krylov,https://en.wikipedia.org/wiki/Johnny_Walker_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,4,Unanimous Decision,Main Event,Nikita Krylov,Johnny Walker,,
Lightweight,Francisco Trinaldo,def,John Makdessi,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Francisco_Trinaldo,https://en.wikipedia.org/wiki/John_Makdessi,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,5,Unanimous Decision,Main Event,Francisco Trinaldo,John Makdessi,,
Flyweight,Brandon Moreno,def,Jussier Formiga,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Brandon_Moreno,https://en.wikipedia.org/wiki/Jussier_Formiga,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,6,Unanimous Decision,Prelim,Brandon Moreno,Jussier Formiga,,
Women's Strawweight,Amanda Ribas,def,Randa Markos,"Decision (unanimous) (30–26, 30–25, 30–25)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Amanda_Ribas,https://en.wikipedia.org/wiki/Randa_Markos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,7,Unanimous Decision,Prelim,Amanda Ribas,Randa Markos,,
Welterweight,Elizeu Zaleski dos Santos,def,Alexey Kunchenko,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Elizeu_Zaleski_dos_Santos,https://en.wikipedia.org/wiki/Alexey_Kunchenko,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,8,Unanimous Decision,Prelim,Elizeu Zaleski dos Santos,Alexey Kunchenko,,
Bantamweight,Enrique Barzola,vs,Rani Yahya,"Draw (majority) (29–28, 28–28, 28–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Enrique_Barzola,https://en.wikipedia.org/wiki/Rani_Yahya,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,9,,Prelim,Enrique Barzola,Rani Yahya,,
Women's Flyweight,Maryna Moroz,def,Mayra Bueno Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Maryna_Moroz,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,10,Unanimous Decision,Prelim,Maryna Moroz,Mayra Bueno Silva,,
Flyweight,David Dvořák,def,Bruno Gustavo da Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,11,Unanimous Decision,Prelim,David Dvořák,Bruno Gustavo da Silva,,
Women's Bantamweight,Bea Malecki,def,Veronica Macedo,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),,https://en.wikipedia.org/wiki/Veronica_Macedo,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,12,Unanimous Decision,Prelim,Bea Malecki,Veronica Macedo,,
Middleweight,Israel Adesanya (c),def,Yoel Romero,"Decision (unanimous) (48–47, 48–47, 49–46)",5,5:00,For the UFC Middleweight Championship.,Main Card,https://en.wikipedia.org/wiki/Israel_Adesanya,https://en.wikipedia.org/wiki/Yoel_Romero,https://en.wikipedia.org/wiki/UFC_248,1,Unanimous Decision,Main Event,Israel Adesanya,Yoel Romero,Israel Adesanya,
Women's Strawweight,Zhang Weili (c),def,Joanna Jędrzejczyk,"Decision (split) (48–47, 47–48, 48–47)",5,5:00,For the UFC Women's Strawweight Championship.,Main Card,https://en.wikipedia.org/wiki/Zhang_Weili,https://en.wikipedia.org/wiki/Joanna_J%C4%99drzejczyk,https://en.wikipedia.org/wiki/UFC_248,2,Split Decision,Main Event,Zhang Weili,Joanna Jędrzejczyk,Zhang Weili,
Lightweight,Beneil Dariush,def,Drakkar Klose,KO (punch),2,1:00,,Main Card,https://en.wikipedia.org/wiki/Beneil_Dariush,https://en.wikipedia.org/wiki/Drakkar_Klose,https://en.wikipedia.org/wiki/UFC_248,3,KO,Main Event,Beneil Dariush,Drakkar Klose,,
Welterweight,Neil Magny,def,Li Jingliang,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main Card,https://en.wikipedia.org/wiki/Neil_Magny,https://en.wikipedia.org/wiki/Li_Jingliang,https://en.wikipedia.org/wiki/UFC_248,4,Unanimous Decision,Main Event,Neil Magny,Li Jingliang,,
Welterweight,Alex Oliveira,def,Max Griffin,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,,Main Card,https://en.wikipedia.org/wiki/Alex_Oliveira_(fighter),https://en.wikipedia.org/wiki/Max_Griffin_(fighter),https://en.wikipedia.org/wiki/UFC_248,5,Split Decision,Main Event,Alex Oliveira,Max Griffin,,
Bantamweight,Sean O'Malley,def,José Alberto Quiñónez,TKO (head kick and punches),1,2:02,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Sean_O%27Malley_(fighter),https://en.wikipedia.org/wiki/Jos%C3%A9_Alberto_Qui%C3%B1%C3%B3nez,https://en.wikipedia.org/wiki/UFC_248,6,KO,Prelim,Sean O'Malley,José Alberto Quiñónez,,
Lightweight,Mark Madsen,def,Austin Hubbard,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Mark_Madsen_(wrestler),https://en.wikipedia.org/wiki/Austin_Hubbard,https://en.wikipedia.org/wiki/UFC_248,7,Unanimous Decision,Prelim,Mark Madsen,Austin Hubbard,,
Middleweight,Rodolfo Vieira,def,Saparbek Safarov,Submission (arm-triangle choke),1,2:58,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Rodolfo_Vieira_(fighter),https://en.wikipedia.org/wiki/Saparbek_Safarov,https://en.wikipedia.org/wiki/UFC_248,8,Sub,Prelim,Rodolfo Vieira,Saparbek Safarov,,
Middleweight,Gerald Meerschaert,def,Deron Winn,Submission (rear-naked choke),3,2:13,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Gerald_Meerschaert,https://en.wikipedia.org/wiki/Deron_Winn,https://en.wikipedia.org/wiki/UFC_248,9,Sub,Prelim,Gerald Meerschaert,Deron Winn,,
Featherweight,Giga Chikadze,def,Jamall Emmers,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Early Preliminary Card (ESPN+),,,https://en.wikipedia.org/wiki/UFC_248,10,Split Decision,Prelim,Giga Chikadze,Jamall Emmers,,
Bantamweight,Danaa Batgerel,def,Guido Cannetti,KO (punches),1,3:01,,Early Preliminary Card (ESPN+),,https://en.wikipedia.org/wiki/Guido_Cannetti,https://en.wikipedia.org/wiki/UFC_248,11,KO,Prelim,Danaa Batgerel,Guido Cannetti,,
Catchweight (127.5 lbs),Deiveson Figueiredo,def,Joseph Benavidez,TKO (punches),2,1:54,For the vacant UFC Flyweight Championship (only Benavidez was eligible).,Main card (ESPN+),https://en.wikipedia.org/wiki/Deiveson_Figueiredo,https://en.wikipedia.org/wiki/Joseph_Benavidez,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,1,KO,Main Event,Deiveson Figueiredo,Joseph Benavidez,,
Women's Featherweight,Felicia Spencer,def,Zarah Fairn dos Santos,TKO (elbows and punches),1,3:37,,Main card (ESPN+),https://en.wikipedia.org/wiki/Felicia_Spencer,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,2,KO,Main Event,Felicia Spencer,Zarah Fairn dos Santos,,
Light Heavyweight,Magomed Ankalaev,def,Ion Cuțelaba,TKO (head kicks and punches),1,0:38,,Main card (ESPN+),https://en.wikipedia.org/wiki/Magomed_Ankalaev,https://en.wikipedia.org/wiki/Ion_Cu%C8%9Belaba,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,3,KO,Main Event,Magomed Ankalaev,Ion Cuțelaba,,
